"ID","Название","Компания","Город","Зарплата","Дата_публикации"
"120720247","Юрисконсульт","Эксим Интернешнл","Москва","200000 -  RUR","19.05.2025, 16:07:20"
"120725360","Главный юрист ВЭБ.РФ","ВЭБ.РФ","Москва","Не указана","19.05.2025, 17:20:19"
"120717700","Юрисконсульт","Кьютек","Москва","150000 - 180000 RUR","19.05.2025, 15:32:40"
"120674638","Юрист / Юрисконсульт","Складской Комплекс в Солнцево","Москва","180000 - 220000 RUR","19.05.2025, 07:53:24"
"120518492","Юрист в единственном лице в производственно-торговую компанию","Lue Sky Legal Recruitment","Москва","300000 - 350000 RUR","14.05.2025, 10:36:17"
"120694906","Юрисконсульт (договорная работа)","Три Точки","Москва","150000 -  RUR","19.05.2025, 11:30:44"
"120699455","Ведущий юрисконсульт","Кастор","Москва","Не указана","19.05.2025, 12:14:52"
"120708427","Юрист","DIDENOK TEAM","Москва","Не указана","19.05.2025, 13:50:25"
"120704863","Ведущий юрисконсульт","Loymax","Москва","150000 -  RUR","19.05.2025, 13:06:43"
"120636809","Юрист","НПП Темп им. Ф. Короткова","Москва","150000 - 200000 RUR","16.05.2025, 14:23:12"
"120708447","Юрист","Manpower","Москва","Не указана","19.05.2025, 13:50:35"
"120704678","Юрист / Legal Сounsel","EMEX","Москва","Не указана","19.05.2025, 13:05:14"
"120554520","Юрист","SKOLKOVO GOLF CLUB","Москва","241200 - 241200 RUR","17.05.2025, 18:02:45"
"120701006","Юрист по договорной, претензионной и судебной работе","Островок","Москва","Не указана","19.05.2025, 12:29:18"
"120597390","Старший юрист","Кадровое агентство ИМПЕРИЯ КАДРОВ","Москва","200000 - 270000 RUR","15.05.2025, 15:57:36"
"120721978","Юрист","АБК","Москва","Не указана","19.05.2025, 16:28:22"
"120463493","Ведущий юрисконсульт","JustFinTech","Москва","200000 -  RUR","13.05.2025, 11:40:29"
"120536998","Помощник начальника (младший юрист)","Первый канал","Москва","100000 - 100000 RUR","14.05.2025, 14:12:20"
"120619654","Юрист","Прочность","Москва","180000 - 230000 RUR","19.05.2025, 10:09:26"
"120713726","Lawyer (gamedev)","Indie Go","Москва","Не указана","19.05.2025, 14:52:01"
"120723822","Старший юрист (MTC Live)","МТС","Москва","Не указана","19.05.2025, 16:54:23"
"120692230","Юрист по персональным данным","Sminex","Москва","230000 - 310000 RUR","19.05.2025, 11:03:48"
"120696468","Юрисконсульт/юрист","Элевейтинг","Москва","150000 -  RUR","19.05.2025, 11:45:03"
"120578738","Юрисконсульт","Телкор","Москва","170000 - 220000 RUR","15.05.2025, 11:35:41"
"120528162","Юрист","Генотек","Москва","120000 - 150000 RUR","14.05.2025, 12:19:01"
"120430624","Юрисконсульт","Континентальная хоккейная лига","Москва","Не указана","12.05.2025, 17:27:52"
"120603660","Юрисконсульт","Lamoda","Москва","Не указана","15.05.2025, 17:52:53"
"120677345","Ведущий юрисконсульт","Московское городское управление природными территориями (ГПБУ Мосприрода)","Москва","150000 -  RUR","19.05.2025, 08:37:07"
"120686806","Юрист (направление правовой экспертизы и судебно-претензионной работы)","Группа Компаний Буран","Москва","Не указана","19.05.2025, 10:11:43"
"120606444","Юрист в единственном лице","Плеядатех","Москва","Не указана","18.05.2025, 21:38:46"
"120651859","Юрист по сопровождению претензионной и судебной работы","VESPER","Москва","Не указана","17.05.2025, 00:59:54"
"120493154","Юрисконсульт/Юрист","МКЦН","Москва","100000 - 130000 RUR","19.05.2025, 17:47:07"
"120636365","Младший юрист (креативное направление)","СберМаркетинг","Москва","Не указана","16.05.2025, 14:14:30"
"120682828","Юрист","Шкваря Ирина Владимировна","Москва","150000 -  RUR","19.05.2025, 09:35:38"
"120537721","Ведущий юрисконсульт","ВТБ АРЕНА","Москва","Не указана","17.05.2025, 14:20:13"
"120578130","Юрист-договорник (юрисконсульт)","СюйГун Ру","Москва","Не указана","15.05.2025, 11:28:11"
"120554577","Старший юрисконсульт","BI.ZONE","Москва","Не указана","14.05.2025, 18:04:34"
"120624013","Юрист (договорная работа)","Керамик Солюшнс Рус, (Церсанит)","Москва","Не указана","16.05.2025, 11:11:59"
"120697633","Юрисконсульт","Сибирская генерирующая Компания","Москва"," - 150000 RUR","19.05.2025, 11:55:35"
"120375026","Юрист в единственном лице","Баурекс","Москва","160000 - 180000 RUR","18.05.2025, 08:46:28"
"120700998","Юрист по недвижимости и арендным правоотношениям","ROITEAM","Москва","170000 -  RUR","19.05.2025, 12:29:12"
"120577768","Юрист судебной практики","СюйГун Ру","Москва","Не указана","15.05.2025, 11:22:57"
"120611565","Старший юрист в торговую компанию","Лодка","Москва","160000 - 160000 RUR","16.05.2025, 07:46:55"
"120604590","Юрист","Grand trade","Москва","Не указана","15.05.2025, 18:34:40"
"120685391","Помощник юриста","BY business group","Москва","80000 -  RUR","19.05.2025, 09:57:59"
"120688523","Юрист по договорной работе","НТИ","Москва","150000 -  RUR","19.05.2025, 10:28:53"
"120376697","Юрист Дирекции по правовым вопросам","Желдорреммаш","Москва","165000 -  RUR","12.05.2025, 09:01:04"
"120555431","Юрист-договорник","Экстремум","Москва","130000 - 160000 RUR","14.05.2025, 18:26:21"
"120721099","Ведущий юрист","АБК","Москва","Не указана","19.05.2025, 16:16:18"
"120711714","Юрисконсульт","Manpower","Москва","Не указана","19.05.2025, 14:30:35"
"120406900","Адвокат / юрист по уголовному праву (экономические преступления)","Lue Sky Legal Recruitment","Москва","150000 - 200000 RUR","12.05.2025, 13:10:27"
"120639326","Юрист","RT","Москва","150000 -  RUR","16.05.2025, 15:06:03"
"120706325","Юрисконсульт","Mr.Doors","Москва","Не указана","19.05.2025, 13:23:07"
"120635048","Юрист","МойОфис","Москва","Не указана","16.05.2025, 13:55:00"
"120661809","Юрист","Sysmex RUS","Москва","Не указана","18.05.2025, 13:08:34"
"120727695","Юрист","МАКСИМА","Москва","Не указана","19.05.2025, 18:10:02"
"120594520","Юрист в продакшн","Джус","Москва","150000 -  RUR","15.05.2025, 15:15:27"
"120570008","Юрисконсульт","НИИ Стали","Москва","149000 - 149000 RUR","15.05.2025, 09:49:59"
"120546510","Юрист","Тексол Транс Сервис","Москва","173000 - 173000 RUR","17.05.2025, 16:19:41"
"120435251","Юрисконсульт","Лигал Бутик","Москва","200000 -  RUR","12.05.2025, 19:52:41"
"120563025","Юрисконсульт","IT_One","Москва","Не указана","15.05.2025, 07:44:25"
"120575577","Корпоративный юрист в холдинговую компанию","Ассоциация Специалистов Городского Хозяйства по Развитию Управленческих Кадров","Москва","250000 - 330000 RUR","15.05.2025, 10:57:40"
"120709403","Старший юрисконсульт","IKON Development","Москва","Не указана","19.05.2025, 14:02:49"
"120692010","Операционный юрист по платёжным сервисам","Точка","Москва","200000 -  RUR","19.05.2025, 11:01:42"
"120506503","Юрист","Лексрус","Москва","150000 -  RUR","17.05.2025, 09:00:02"
"120693626","Юрисконсульт","Лоуд Энд Шип","Москва","130000 - 150000 RUR","19.05.2025, 11:18:06"
"120380169","Юрист в строительную компанию","Бсо Логистик","Москва","200000 -  RUR","18.05.2025, 09:31:37"
"120531800","Юрист","eXpress","Москва","Не указана","14.05.2025, 13:04:48"
"120641000","Юрист в кинокомпанию (Проект)","DPG Russia","Москва","Не указана","19.05.2025, 15:27:23"
"120706428","Юрист","Юридическое агентство IQ Technology","Москва","60000 - 80000 RUR","19.05.2025, 13:24:34"
"120480178","Старший юрисконсульт","МосРегионТранс","Москва","180000 -  RUR","13.05.2025, 14:51:52"
"120453972","Старший корпоративный юрист в инвестиционную компанию","Lue Sky Legal Recruitment","Москва","350000 - 400000 RUR","13.05.2025, 10:06:57"
"120495740","Главный юрист/ведущий юрист","КомплектЭнерго","Москва","Не указана","13.05.2025, 20:14:17"
"120616612","Юрист","Мианстрой","Москва","130000 - 150000 RUR","16.05.2025, 09:30:09"
"120391739","Ведущий юрист (в строительную компанию)","Группа компаний ARDO","Москва","150000 - 180000 RUR","18.05.2025, 10:58:20"
"120388932","Ведущий юрист","Multiple Choice","Москва","Не указана","12.05.2025, 10:38:24"
"120684310","Юрисконсульт (торгово-производственная компания)","БиоПласт","Москва","Не указана","19.05.2025, 09:48:53"
"120701806","Главный юрист (направление - медицина)","Медскан","Москва","200000 -  RUR","19.05.2025, 12:36:12"
"120649077","Ведущий юрисконсульт","Райтибор","Москва","Не указана","16.05.2025, 17:51:53"
"120407579","Юрисконсульт по договорной работе","СберСити","Москва","Не указана","16.05.2025, 12:21:48"
"120573322","Юрисконсульт договорно-правового отдела","ПГИ","Москва","Не указана","15.05.2025, 10:29:49"
"120719737","Ведущий юрисконсульт","Фармстандарт","Москва","Не указана","19.05.2025, 16:01:08"
"120696767","Юрист (Сколково)","Arctic Invest","Москва","Не указана","19.05.2025, 11:47:12"
"120378580","Заместитель руководителя юридического отдела / юрист","АЛЕФ","Москва","180000 -  RUR","12.05.2025, 09:18:24"
"120494747","Старший юрисконсульт","Sitronics Group","Москва","Не указана","13.05.2025, 18:47:19"
"120599606","Юрист","DESPORT","Москва","150000 - 150000 RUR","15.05.2025, 16:31:05"
"120421734","Юрист/ Lawyer (в единственном лице)","Агентство КИТ Консалт","Москва","200000 -  RUR","12.05.2025, 15:43:10"
"120521366","Ведущий Юрист","Ликви Моли Руссланд","Москва","160000 -  RUR","19.05.2025, 10:58:05"
"120402928","Юрист","Транио","Москва","Не указана","12.05.2025, 12:33:21"
"120728361","Юрист","Группа Компаний СЛ","Москва","100000 -  RUR","19.05.2025, 18:30:30"
"120487373","Младший юрист-международник","SocioTeam Сonsulting","Москва","100000 -  RUR","13.05.2025, 16:14:44"
"120454785","Юрист в области корпоративного права","Гасфор","Москва","190000 -  RUR","13.05.2025, 10:14:19"
"120582628","Юрисконсульт","Компания Интервесп","Москва","150000 - 200000 RUR","18.05.2025, 12:28:07"
"120680792","Юрист в единственном лице","ЮнионМарт","Москва","140000 - 140000 RUR","19.05.2025, 09:14:58"
"120432405","Главный юрисконсульт/руководитель направления","МТС Финтех","Москва","Не указана","12.05.2025, 17:57:56"
"120677387","Ведущий юрисконсульт претензионно-исковой работы","Московская Инженерно-Строительная Компания","Москва","120000 - 130000 RUR","19.05.2025, 08:37:17"
"120681730","Юрист","Хай Вэй Групп","Москва","100000 -  RUR","19.05.2025, 09:25:10"
"120526069","Юрист по претензионной работе","ДИВАН.РУ","Москва","47000 - 70000 RUR","17.05.2025, 11:54:42"
"120638716","Ведущий юрист","Группа компаний Bi Гранум","Москва","140000 - 160000 RUR","16.05.2025, 14:56:01"
"120494923","Помощник юриста в крупную компанию (ТОП-3 Москвы)","ГорОбмен","Москва","70000 - 105000 RUR","13.05.2025, 18:55:02"
